1|Espere mientras se abre la aplicación|2016-05-24T09:45:32.0000000|2016-05-24T09:45:40.0000000|ManicTime|ManicTime/Applications
3||2016-05-24T09:45:32.0000000|2016-05-24T09:45:58.0000000||ManicTime/ComputerUsage
4|Licencia|2016-05-24T09:45:40.0000000|2016-05-24T09:45:47.0000000|ManicTime|ManicTime/Applications
5|Configuración|2016-05-24T09:45:47.0000000|2016-05-24T09:45:54.0000000|ManicTime|ManicTime/Applications
6|Menú Inicio|2016-05-24T09:45:54.0000000|2016-05-24T09:45:58.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
7|Sistema operativo Microsoft® Windows®|2016-06-02T16:04:57.0000000|2016-06-02T16:05:04.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
8|Servicios|2016-06-02T16:05:04.0000000|2016-06-02T16:05:12.0000000|Servicios|ManicTime/Applications
9|Propiedades de Web Deployment Agent Service (Equipo local)|2016-06-02T16:05:12.0000000|2016-06-02T16:05:17.0000000|Propiedades de Web Deployment Agent Service (Equipo local)|ManicTime/Applications
10|45 segundos restantes|2016-06-02T16:05:17.0000000|2016-06-02T16:05:34.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
11|30 segundos restantes|2016-06-02T16:05:34.0000000|2016-06-02T16:05:45.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
12|20 segundos restantes|2016-06-02T16:05:45.0000000|2016-06-02T16:05:51.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
13|15 segundos restantes|2016-06-02T16:05:51.0000000|2016-06-02T16:05:57.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
14||2016-06-02T16:04:57.0000000|2016-06-02T16:17:49.0000000||ManicTime/ComputerUsage
15|5 segundos restantes|2016-06-02T16:05:57.0000000|2016-06-02T16:06:04.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
16|Installers|2016-06-02T16:06:04.0000000|2016-06-02T16:06:09.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
17|Setup|2016-06-02T16:06:09.0000000|2016-06-02T16:06:17.0000000|Microsoft® Visual Studio® 2008|ManicTime/Applications
18|Microsoft Visual C++ 2008 Redistributable Setup|2016-06-02T16:06:17.0000000|2016-06-02T16:06:23.0000000|Microsoft® Visual Studio® 2008|ManicTime/Applications
19|Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030 Setup|2016-06-02T16:06:23.0000000|2016-06-02T16:06:28.0000000|Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030|ManicTime/Applications
20|Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030|2016-06-02T16:06:28.0000000|2016-06-02T16:08:07.0000000|Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030|ManicTime/Applications
21|Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501 Setup|2016-06-02T16:08:07.0000000|2016-06-02T16:08:12.0000000|Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501|ManicTime/Applications
22|Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501|2016-06-02T16:08:12.0000000|2016-06-02T16:10:45.0000000|Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501|ManicTime/Applications
23|Microsoft Visual C++ 2008 Redistributable Setup|2016-06-02T16:10:45.0000000|2016-06-02T16:10:52.0000000|Microsoft® Visual Studio® 2008|ManicTime/Applications
24|Installers|2016-06-02T16:10:52.0000000|2016-06-02T16:10:58.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
25|Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030|2016-06-02T16:10:58.0000000|2016-06-02T16:11:21.0000000|Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030|ManicTime/Applications
26|Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610|2016-06-02T16:11:21.0000000|2016-06-02T16:13:06.0000000|Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610|ManicTime/Applications
27|Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501 Setup|2016-06-02T16:13:06.0000000|2016-06-02T16:13:12.0000000|Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501|ManicTime/Applications
28|Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501|2016-06-02T16:13:12.0000000|2016-06-02T16:15:11.0000000|Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501|ManicTime/Applications
29|Installers|2016-06-02T16:15:11.0000000|2016-06-02T16:15:24.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
