1|Espere mientras se abre la aplicación|2016-05-24T09:25:29.0000000|2016-05-24T09:25:42.0000000|ManicTime|ManicTime/Applications
2|ManicTime|2016-05-24T09:25:42.0000000|2016-05-24T09:25:48.0000000|ManicTime|ManicTime/Applications
3||2016-05-24T09:25:29.0000000|2016-05-24T09:26:00.0000000||ManicTime/ComputerUsage
4|ManicTime - STANDARD|2016-05-24T09:25:48.0000000|2016-05-24T09:25:58.0000000|ManicTime|ManicTime/Applications
6|Menú Inicio|2016-05-24T09:25:58.0000000|2016-05-24T09:26:00.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
7|10 segundos restantes|2016-06-02T14:58:46.0000000|2016-06-02T14:58:53.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
8|5 segundos restantes|2016-06-02T14:58:53.0000000|2016-06-02T14:58:59.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
9|Installers|2016-06-02T14:58:59.0000000|2016-06-02T14:59:06.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
10|Setup|2016-06-02T14:59:06.0000000|2016-06-02T14:59:14.0000000|Microsoft® Visual Studio® 2008|ManicTime/Applications
11|Installers|2016-06-02T14:59:14.0000000|2016-06-02T14:59:20.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
12|Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030|2016-06-02T14:59:20.0000000|2016-06-02T15:00:30.0000000|Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030|ManicTime/Applications
13||2016-06-02T14:58:46.0000000|2016-06-02T15:07:10.0000000||ManicTime/ComputerUsage
14|Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501|2016-06-02T15:00:30.0000000|2016-06-02T15:00:53.0000000|Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501|ManicTime/Applications
15|Sistema operativo Microsoft® Windows®|2016-06-02T15:00:53.0000000|2016-06-02T15:01:03.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
16|Servicios|2016-06-02T15:01:03.0000000|2016-06-02T15:01:14.0000000|Servicios|ManicTime/Applications
17|Control de servicio|2016-06-02T15:01:14.0000000|2016-06-02T15:01:19.0000000|Control de servicio|ManicTime/Applications
18|Servicios|2016-06-02T15:01:19.0000000|2016-06-02T15:01:24.0000000|Servicios|ManicTime/Applications
19|Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501 Setup|2016-06-02T15:01:24.0000000|2016-06-02T15:01:45.0000000|Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501|ManicTime/Applications
20|Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005|2016-06-02T15:01:45.0000000|2016-06-02T15:02:23.0000000|Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005|ManicTime/Applications
21|Installers|2016-06-02T15:02:23.0000000|2016-06-02T15:02:28.0000000|Sistema operativo Microsoft® Windows®|ManicTime/Applications
22|Microsoft Visual C++ 2008 Redistributable Setup|2016-06-02T15:02:28.0000000|2016-06-02T15:02:38.0000000|Microsoft® Visual Studio® 2008|ManicTime/Applications
23|Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030 Setup|2016-06-02T15:02:38.0000000|2016-06-02T15:02:44.0000000|Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030|ManicTime/Applications
